,accuracy,precision,recall,f1,roc_auc
Decision Tree,0.6956521739130435,0.7789757412398922,0.5463137996219282,0.6422222222222222,0.7418221418591271
Random Forest,0.7136105860113422,0.7562358276643991,0.6304347826086957,0.6876288659793814,0.7825948485032572
XGBoost,0.7244801512287334,0.7624309392265194,0.6521739130434783,0.7030056036678554,0.7876910459868282
